epc,time,rssi,phase,antenna
2016072708726A0110400342,2017-10-30 19:53:42.615,-72,135,1
2016072708726A0110400342,2017-10-30 19:53:43.336,-74,104,1
2016072708726A0110400342,2017-10-30 19:53:44.266,-75,36,1
2016072708726A0110400342,2017-10-30 19:53:45.045,-74,177,1
2016072708726A0110400342,2017-10-30 19:53:45.883,-73,132,1
2016072708726A0110400342,2017-10-30 19:53:46.954,-73,47,1
2016072708726A0110400342,2017-10-30 19:53:48.228,-74,70,1
2016072708726A0110400342,2017-10-30 19:53:48.992,-74,67,1
2016072708726A0110400342,2017-10-30 19:53:50.004,-74,143,1
2016072708726A0110400342,2017-10-30 19:53:50.686,-74,64,1
2016072708726A0110400342,2017-10-30 19:53:51.532,-74,126,1
2016072708726A0110400342,2017-10-30 19:53:52.299,-74,101,1
